Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Clayman, Charles B., M.D.",The American medical Association Practical Family Health,Reader's Digest,Good,No Jacket,Hard Cover,Medical,0-89577-335-X,1989,,144,
"Conway, Jill Ker",The Road from Coorain,Alfred A. Knoff,Good,No Jacket,Soft Cover,Novel,,1989,,238,
"Cool, Lisa Collier",How To Sell Every Magazine Article You Write,Writer's Digest Books,Very Good,No Jacket,Soft Cover,Education,898793556,1989,,214,
"Cooper, Susan",The Dark is Rising,Scholastic,Good,No Jacket,Soft Cover,Young Adult,590433199,1989,,244,
"Covey, Stephen R.",The 7 Habits of Highly Effective People,Simon & Schuster,Very Good,As New,Hard Cover,Education,671663984,1989,,340,
"Covey, Stephen R.",The 7 Habits of Highly Effective People,Simon & Schuster,Very Good,Very Good,Hard Cover,Education,0-671-66398-4,1989,,358,
"Douglas, Auriel, & Strumpf, Michael",Best Book of Aphorisms,Webster's New World,Very Good,Very Good,Soft Cover,Education,139471286,1989,,409,
"Douglas, Kirk",The Ragman's Son,Pocket Books,Very Good,No Jacket,Soft Cover,Autobiography,671637185,1989,,478,
"Evanovich, Janet",Love Overboard,Harper Torch,As New,No Jacket,Soft Cover,Mystery,60598840,1989,,266,
"Feldman, David",When Do Fish Sleep?,Harper Perrenial,Good,No Jacket,Soft Cover,Humor,60161612,1989,,260,
"Feldman, Thea",Little Red Riding Hood,Western Publishing,Very Good,No Jacket,Hard Cover,Child's Book,307070581,1989,,,
"Fleming, Thomas",Time and Tide,Bantam Book,Poor,No Jacket,Soft Cover,Mystery,553274562,1989,,626,
"Francis, Dick",Straight,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1989,,,
"Gage, Elizabeth",A Glimpse of Stocking,Pocket Books,Fair,No Jacket,Soft Cover,Mystery,671677241,1989,,,
"Gage, Elizabeth",A Glimpse of Stocking,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671677241,1989,,708,
"Gardner, John","Win, Lose or Die",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1989,,,
"Garwood, Julie",The Bride,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671003518,1989,,358,
"Gilbert, Michael","Paint, Gold and Blood",Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1989,,,
"Godfrey, Thomas",English Country House Murders,The Mysterious Press,Poor,No Jacket,Soft Cover,Novel,445408456,1989,,533,
"Grafton, Sue",F is for Fugitive,Bantam Books,As New,No Jacket,Soft Cover,Mystery,0-553-28478-9,1989,,308,
"Grafton, Sue",F is for Fugitive,Bantam Books,Good,No Jacket,Soft Cover,Mystery,0-553-289478-9,1989,,308,
"Graham, Judy",Multiple Sclerosis: A Self-Help Gide to Its Management,Healing Arts Press,Very Good,No Jacket,Soft Cover,Education,0-89281-242-7,1989,,248,
"Grisham, John",A Time to Kill,Island Books,Good,No Jacket,Soft Cover,Mystery,440211727,1989,,515,
"Grisham, John",A Time to Kill,Island Books,Good,No Jacket,Soft Cover,Mystery,440211727,1989,,515,
"Hamilton, Wk. R., Wooley, A. R. & Bishop, A. C.","The Henry Holt Guide to Minerals, Rocks and Fossils",Henry Holt & Co.,Very Good,No Jacket,Soft Cover,Education,0-8050-1118-8,1989,,320,
"Haynes, Betsy",Katie's Dating Tips,A Bantam Skylark Book,Good,No Jacket,Soft Cover,Child's Book,0-353-15748-3,1989,,,
"Herriot, James",The Market Square Dog,St Martine's Press,As New,As New,Hard Cover,Child's Book,312033974,1989,,,
"Higgins, Jack",Season in Hell,Pocket Books,Very Good,No Jacket,Soft Cover,Mystery,0-671-69271-2,1989,,312,
"Higgins, Jack","Season in Hell, A",Pocket Books,Good,No Jacket,Soft Cover,Mystery,671692712,1989,,312,
"Hillerman, Tony",Talking God,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1989,,,
"Hillerman, Tony",Talking God,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Novel,006109918X,1989,,351,
"Hoag, Tami",Straight From The Heart,Bantam Books,As New,No Jacket,Soft Cover,Mystery,978-0-553-59090,1989,,215,
"James, P. D.",Devices and Desires,Warner Books,Fair,No Jacket,Soft Cover,Mystery,446359750,1989,,466,
"Jance, J. A.",Dismissed with Prejudice,Aven Books,Very Good,No Jacket,Soft Cover,Mystery,1.40E+14,1989,,362,
"Kellerman, Jonathan",Silent Partner,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345460685,1989,,484,
"King, Stephen",The Dark Half,A Signet Book,Fair,No Jacket,Soft Cover,Horror,451167317,1989,,484,
"King, Stephen",The Dark Half,A Signet Book,Fair,No Jacket,Soft Cover,Mystery,451167317,1989,,484,
"Kroeber, Theodora",Ishi Last of His Tribe,Bantam Book,Fair,No Jacket,Soft Cover,Young Adult,553248987,1989,,213,
"Lescroart, John",Dead Irish,Island Books,As New,No Jacket,Soft Cover,Mystery,440207835,1989,,403,
"Lisle, Janet Taylor",Afternoon of the Elves,"Scholastic, Inc.",Good,No Jacket,Soft Cover,Child's Book,590439448,1989,,122,
"Luce, Henry R.",Indiana Jones and the Last Crusade,Random House,Poor,No Jacket,Soft Cover,Adventure,No ISBN,1989,,107,
"Montgomery, L. M.",Anne of Green Gables,Scholistic Inc.,Fair,No Jacket,Soft Cover,Child's Book,059042243X,1989,1st Edition,373,
"Montgomery, L. M.",Anne of Green Gables,Scholastic,Good,Good,Hard Cover,Young Adult,059042243X,1989,,373,
"Neff, Glenda Tennant",1989 Writer's Market,Writer's Digest Books,Very Good,No Jacket,Hard Cover,Reference,898793300,1989,,1025,
"Novak, William",My Turn The Memoirs of Nancy Reagan,Random House,Very Good,Good,Hard Cover,Memoir,,1989,,,
"Patterson, James",Midnight Club,Warner Books,As New,No Jacket,Soft Cover,Mystery,0-446-60-638-3,1989,,510,
"Patterson, James",The Midnight Club,Ivy Books,Fair,No Jacket,Soft Cover,Mystery,0-8041-0597-9,1989,,250,
"Patterson, James",The Midnight Club,Ivy Books,Poor,No Jacket,Soft Cover,Mystery,0-8041-0597-9,1989,,280,
"Roe, Francis",Doctors & Doctors' Wives,A Signet Book,Poor,No Jacket,Soft Cover,Novel,451169107,1989,,424,
"Sachar, Louis",Sideways Arithmetic from Wayside School,Scholastic Book Services,Fair,No Jacket,Soft Cover,Humor,0-590-45726-8,1989,,89,
"Sanders, Lawrence",Stolen Blessings,Berklely Books,As New,No Jacket,Soft Cover,Mystery,042511872X,1989,,307,
"Sandford, John",The Fool's Run,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0-425-15575-2,1989,,338,
"Scheim, David E.",Contract America,Zebra Books,Fair,No Jacket,Soft Cover,Non-Fiction,821726153,1989,,624,
"Stein, Philip L. & Rowe, Bruce M.",Physical Anthropology,"McGraw-Hill Book Company, Inc.",Very Good,No Jacket,Soft Cover,Education,0-07-061165-3,1989,,512,
"Stein, Philip L. & Rowe, Bruce M.",Workbook in Physical Anthropology,"McGraw-Hill Book Company, Inc.",Very Good,No Jacket,Soft Cover,Education,0-07-061168-8,1989,,266,
"Stoll, Cliff",The Cuckoo's Egg,Pocket Books,Fair,No Jacket,Soft Cover,Historical,671726889,1989,,356,
"Tan, Amy",The Joy Luck Club,Ivy Books,Very Good,No Jacket,Soft Cover,Novel,804106304,1989,,332,
"Tan, Amy",The Joy Luck Club,Ivy Books,Poor,No Jacket,Soft Cover,Novel,804106304,1989,,332,
"Underwood, Michael",A Compelling Case,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1989,,,
"Wambaugh, Joseph",The Blooding,William Morrow,Good,As New,Hard Cover,Mystery,688086179,1989,,288,
"Weir, Catherine Daly",All Aboard Cars,Grosset & Dunlap,Very Good,No Jacket,Soft Cover,Child's Book,448411024,1989,,,
"Wells, Christie",Cranberry Cousins Secret Crush,Troll,Good,No Jacket,Soft Cover,Young Adult,816714991,1989,,124,
"Woititz, Ed.D, Janet G.",The Self-Sabotage Syndrome,"Heallth Communications, Inc.",Very Good,No Jacket,Soft Cover,Self Help,1558740503,1989,,126,
"Wolzien, Valerie",The Fortieth Birthday Body,Fawcett Gold Medal,Good,No Jacket,Soft Cover,Mystery,449146855,1989,,233,
"Auel, Jean M.",The Plains of Passage,Bantam Books,Very Good,No Jacket,Soft Cover,Novel,553289411,1990,,868,
"Babson, Marian",In the Teeth of Adversity,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1990,,,
"Birke, Szifra & Mayer, Kathy",Together We Heal,Ballantine Books,Fair,No Jacket,Soft Cover,Health,345362810,1990,,383,
"Braun, Lillian Jackson",The Cat Who Lived High,G. P. Putnam Sons,Fine,Very Good,Hard Cover,Mystery,399135545,1990,,239,
"Braun, Lillian Jackson",The Cat Who Talked to Ghosts,G. P. Putnam Sons,As New,Fine,Hard Cover,Mystery,399134778,1990,First Edition,239,
"Broder, PH.D.",The Art of Living Single,Avon Books,As New,No Jacket,Soft Cover,Self Help,380709333,1990,,,
"Brown, Sandra","Mirror Image, Best Kept Secrets, Slow Heat in Heaven",Wings Books,As New,Fine,Hard Cover,Mystery,517077744,1990,,771,
"Burke, James Lee",A Morning for Flamingos,Aven Books,Good,No Jacket,Soft Cover,Mystery,380713608,1990,1st Edition,319,
"Burke, James Lee",A Morning for Flamingos,Aven Books,Fair,No Jacket,Soft Cover,Novel,0-380-71360-8,1990,,,
"Burke, James Lee",Morning for Flamingos,Aven Books,Fair,No Jacket,Soft Cover,Novel,0-380-71360-8,1990,,,
"Chrichton, Michael",Jurassic Park,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345370775,1990,,266,
"Churchill, Robert Paul","Logic, An Introduction: 2nd Edition",St. Martin's Press,Very Good,No Jacket,Hard Cover,Education,0-312-02353-7,1990,,635,
"Clancy, Tom",The Hunt for Red October,Berklely Books,Good,No Jacket,Soft Cover,Novel,425120279,1990,,469,Made into a movie
"Coonts, Stephen",The Minotaur,Dell,Good,No Jacket,Soft Cover,Adventure,440207428,1990,,438,
"Cornwell, Patricia",Postmortem,ImPress Mystery,Fine,No Jacket,Hard Cover,Mystery,762188596,1990,,333,
"Courter, Gay",Flowers in The Blood,Signet,Good,No Jacket,Soft Cover,Mystery,451170121,1990,,625,
"Cullen, Robert",Soviet Sources,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1990,,,
"Deighton, Len",Spy Sinker,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1990,,,
"Disney, Walt",Scrooge's Silly Day,Bantam Book,Very Good,No Jacket,Hard Cover,Child's Book,553056298,1990,,,
"Douglas, Auriel",Ditionary of Eponyms,Webster's New World,Very Good,Very Good,Soft Cover,Education,139499261,1990,,238,Signed by Author
"Drake, David",Surface Action,"Ace Books, Inc.",Good,No Jacket,Soft Cover,Novel,044136375X,1990,,236,
"Dravecky, Dave",Comeback,Harper Paperbacks,Good,No Jacket,Soft Cover,Biography,61040487,1990,,269,
"Drucker, Peter F.",Managing the Non-Profit Organization,Harper Business,Very Good,No Jacket,Soft Cover,Self Help,887306012,1990,,,
"Francis, Dick",Longshot,G. P. Putnam's Sons,Very Good,Fine,Hard Cover,Mystery,399135812,1990,,320,
"Garwood, Julie",Guardian Angel,Pocket Books,Good,No Jacket,Soft Cover,Romance,671670069,1990,First Edition,375,
"Garwood, Julie",Guardian Angel and The Gift,Pocket Books,Good,No Jacket,Soft Cover,Mystery,1416507361,1990,,375,
"Grafton, Sue",G is for Gumshoe,Random House,As New,No Jacket,Soft Cover,Mystery,449219364,1990,,341,
"Grafton, Sue",G is for Gumshoe,Random House,Very Good,No Jacket,Soft Cover,Mystery,0-449-21936-4,1990,,327,
"Griffin, W.E.B.",The Corps Book III,Jove Books,Poor,No Jacket,Soft Cover,Novel,515104175,1990,,503,
"Hollands, Judith","The Ketchup Sisters, The Cry of the Captured Doll",Pocket Books,Good,No Jacket,Soft Cover,Child's Book,671668137,1990,1st Edition,72,
"Holt, Victoria",Snare of Serpents,Fontana/Collins,Fair,No Jacket,Soft Cover,Novel,000617924X,1990,,415,
"Hom, Ken",Ken Hom's Quick & Easy Chinese Cooking,Chronicle Books,Very Good,No Jacket,Soft Cover,Cook Book,0-87701-770-0,1990,,148,
"Home Planners, Inc.",Home Planners' Style Portfolio,"Home Planners, Inc.",Fair,No Jacket,Soft Cover,Organizing & Design,918894794,1990,,320,
"Hughes, Dean",Lucky's Crash Landing,Deseret Book Co.,Good,No Jacket,Soft Cover,Education,087579193X,1990,,160,
"Jance, J. A.",Minor in Possession,Aven Books,Very Good,No Jacket,Soft Cover,Mystery,0-380-75546-7,1990,,372,
"Johansen, Iris",An Unexpected Song,Bantam Books,As New,Fine,Hard Cover,Romance,1.40E+14,1990,,215,
"Johnston, Terry C.",Red Cloud's Revenge,St. Martin's Paperbacks,As New,No Jacket,Soft Cover,Novel,312927339,1990,1st Edition,384,
"Johnston, Terry C.",Sioux Dawn,St. Martin's Paperbacks,As New,No Jacket,Soft Cover,Novel,312927320,1990,1st Edition,427,
"Johnston, Terry C.",The Stalkers,St. Martin's Paperbacks,Poor,No Jacket,Soft Cover,Novel,312929633,1990,,378,
"Kamien, Roger","Music, An Appreciation","McGraw-Hill Book Company, Inc.",Fair,No Jacket,Soft Cover,Education,70335680,1990,,343,
"Kellerman, Faye",Milk & Honey,Avon Books,As New,No Jacket,Soft Cover,Mystery,380732688,1990,,416,
"Kellerman, Jonathan",Time Bomb,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345460693,1990,,468,
"Kellerman, Jonathan",Time Bomb,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345460693,1990,,,
"King, Larry with Appel, Marty",When You're from Brooklyn Everything is Tokyo,"Little, Brown & Co.",As New,As New,Hard Cover,Memoir,316493562,1990,1st Edition,235,
"Kingsolver, Barbara",The Poisonwood Bible,HarperPerennial,As New,No Jacket,Soft Cover,Novel,60930535,1990,,543,
"Krantz, Judith",Dazzle,Crown Publishers,As New,Fine,Hard Cover,Novel,517575019,1990,1st Edition,372,
"Leedy, Loreen",The Furry News,Holiday House,Very Good,No Jacket,Soft Cover,Child's Book,823407934,1990,,,
"Lescroart, John",The Vig,A Signet Book,Good,No Jacket,Soft Cover,Mystery,451219155,1990,,371,
"Lescroart, John",The VIG,Dell,Very Good,No Jacket,Soft Cover,Mystery,440209862,1990,,371,
"McNaught, Judith",Almost Heaven,Pocket Books,Good,No Jacket,Soft Cover,Romance,671742558,1990,,517,
"McNaught, Judith",Almost Heaven,Pocket Books,As New,No Jacket,Soft Cover,Romance,0-671-74255-8,1990,,517,
"Melville, Herman",Moby Dick,Baronet Books,Good,Good,Hard Cover,Collector,No ISBN,1990,,238,
"Michael, Judith",A Ruling Passion,Pocket Books,Poor,No Jacket,Soft Cover,Novel,0-671-70125-8,1990,,,
"Michael, Judith",A Ruling Passion,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671,1990,1st Edition,632,
"Morrell, David",The Fifth Profession,Time Warner,Good,No Jacket,Soft Cover,Mystery,446360872,1990,,498,
"Petersen, Grete",Creative Leathercraft,A Tower Book,Very Good,No Jacket,Soft Cover,Education,No ISBN,1990,,180,
"Plain, Belva",Harvest,Reader's Digest,Very Good,Fine,Hard Cover,Novel,None,1990,,,
"Prelutsky, Jack",Something Big Has Been Here,Scholastic,Good,No Jacket,Mass Market Paperback,Child's Book,0-590-45509-5,1990,,160,
"Rehder, Harold A.",The World of Nature: Seashells,Gallery Books,Very Good,No Jacket,Hard Cover,Education,0-8317-9578-6,1990,,,
"Rooney, Andy",Not That You Asked...,Penguin Books,Fair,No Jacket,Soft Cover,Non-Fiction,140131728,1990,,170,
"Ross, Stephen V.",Spelling Made Simple,Doubleday Page & Co.,,No Jacket,Soft Cover,Education,0-385-26642-1,1990,,192,
"Ross, Stephen V.",Spelling Made Simple,Doubleday,Very Good,No Jacket,Soft Cover,Education,0-385-26642-1,1990,,192,
"Saanders, Lawrence",Sullivan's Sting,G. P. Putnam's Sons,As New,Fair,Hard Cover,Mystery,399135421,1990,,348,
"Sandfford, John",Shadow Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425126064,1990,,358,
"Sheldon, Sidney",Memoriees of Midnight,William Morrow,As New,Fine,Hard Cover,Fiction,688084885,1990,1st Edition,399,
"Sheldon, Sidney",Memories of Midnight,Warner Books,Very Good,Fine,Soft Cover,Mystery,446354678,1990,,404,
"Sheldon, Sidney",Memories of Midnight,William Morrow,As New,Very Good,Hard Cover,Novel,688084885,1990,1st Edition,397,
"Steel, Danielle",Message From Nam,Corgi,Good,No Jacket,Soft Cover,Romance,552135240,1990,,476,
Sunset Books,Road Atlas,American Map Org.,Poor,No Jacket,Soft Cover,Magazine,,1990,,192,
"Tate, Eleanore E.","Thank You, Dr. Martin Luther King, Jr.!",A Bantam Skylark Book,Fair,No Jacket,Soft Cover,Child's Book,553158864,1990,,237,
"Tierra, C.A., N.D., Michael",The Way of Herbs,Pocket Books,Very Good,No Jacket,Soft Cover,Health,671724037,1990,,,
"Turow, Scott",The Burden of Proof,"Farrar, Straus & Giroux",As New,Fine,Hard Cover,Novel,374117349,1990,First Edition,515,
"Underwood, Michael",Rosa's Dilemna,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1990,,,
"Wambaugh, Joseph",The Golden Orange,William Morrow,Good,Fair,Hard Cover,Novel,688094082,1990,,317,
"Ward, Randy",Winning the Greatest Game of All,Cimarron Mgt. Corp.,Very Good,,Soft Cover,Self Help,961359818,1990,,,
"Werthman, Michael S.",Psychology: The Study of Human Behavior,"Harper Collins Publishers, Inc.",Very Good,No Jacket,Soft Cover,Health,0-06-046867-X,1990,,408,
"Westlake, Donald",Drowned Hopes,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1990,,,
"Wilcox, Collin",Hire a Hangman,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1990,,,
"Wilcox, Collin",Hire a Hangman,Detective Book Club,Very Good,No Jacket,Hard Cover,Novel,,1990,,,
"Yorke, Margaret",Admit to Murder,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1990,,,
"Zinsser, William",On Writing Well,Harper Perennial,Very Good,Very Good,Hard Cover,Education,60552727,1990,1st Edition,288,
"Babson, Marian",Shadows in Their Blood,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1991,,,
"Barker, Raymond Charles",The Power of Decision,A Perigee Book,Very Good,No Jacket,Soft Cover,Education,0-399-51679-4,1991,1st Edition,,
"Barry, Dave",Dave Bary's Only Travel Guide You'll Ever Need,Fawcett Columbine,Good,No Jacket,Soft Cover,Humor,449907597,1991,,168,
"Blanchard, Kenneth & Peale, Norman Vincent",The Power of Ethical Management,Fawcett Crest,Good,No Jacket,Soft Cover,Self Help,449217655,1991,,141,
"Booher, Dianna",Executives Portfolio of Model Speeches for All Occasions,"Prentice Hall, Inc.",Very Good,No Jacket,Soft Cover,Self Help,0-13-293317-9,1991,,318,
"Braun, Lilian Jackson","The Cat Who Talked to Ghosts, Etc",G. P. Putnam's Sons,Fair,Poor,Hard Cover,Mystery,399142584,1991,,593,
"Brown, Sandra",French Silk,Warner Books,As New,Fine,Hard Cover,Mystery,446516546,1991,First Edition,403,
"Bukics, Rose Marie",Financial Statement Analysis,Rose Marie L. Bukics,As New,No Jacket,Soft Cover,Self Help,1557381836,1991,,148,
"Camppbell, Joanna","Thoroughbred, Wonder's First Race",HarperPaperbacks,Poor,No Jacket,Soft Cover,Novel,0-06-106082-8,1991,,185,
"Chopra, M.D., Deepak",Uncondional Life,Bantam Books,As New,As New,Hard Cover,Self Help,553076094,1991,,277,
"Churchill, Jill",A Farewell to Yarns,Aven Books,As New,No Jacket,Soft Cover,Mystery,380763990,1991,,243,
"Churchill, Jill",Farewell to Yarns,Avon Books,As New,No Jacket,Soft Cover,Mystery,0-380-76390-0,1991,,243,
"Clark, Mary Higgins","Loves Music, Loves to Dance",Pocket Books,Good,No Jacket,Soft Cover,Mystery,671758896,1991,,304,
"Clark, Mary Higgins",The Cradle Will Fall,Pocket Books,Good,No Jacket,Soft Cover,Mystery,0-671-74119-5,1991,,314,
"Cornwell, Patricia",Body of Evidence,Avon Books,Good,No Jacket,Soft Cover,Mystery,380717018,1991,,401,
"Cuff, Dana",Architecture: The Story of Practice,First MIT Press,Good,No Jacket,Soft Cover,Education,262531127,1991,,306,
"Cussler, Clive",Dragon,Pocket Books,Very Good,No Jacket,Soft Cover,Novel,0-671-74276-0,1991,,,
"Daheim, Mary",Just Desserts,Avon Books,As New,No Jacket,Soft Cover,Mystery,380762951,1991,,252,
"Davis, Don",The Milwaukee Murders,St Martine's Paperbacks,Poor,No Jacket,Soft Cover,Mystery,312928408,1991,,290,
"Deighton, Len",Mamista,Detective Book Club,Very Good,No Jacket,Hard Cover,Mystery,None,1991,,,
"Dixon, Franklin W.","The Hardy Boys , Height of Danger",An Archway Paperback,Good,No Jacket,Soft Cover,Child's Book,671730924,1991,,150,
"Elkins, Aaron",Make No Bones,Detective Book Club,Good,No Jacket,Hard Cover,Mystery,None,1991,,,
"Eppenbach, Sarah",Alaska's Southeast,The Globe Pequot Press,Good,No Jacket,Soft Cover,Travel,871063956,1991,,307,
"French, Thomas",Unanswered Cries,St. Martin's Paperbacks,Very Good,No Jacket,Soft Cover,Mystery,312926456,1991,,406,
"Gardner, Earl Stanley",Honest Money,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1991,,204,
"Garwood, Julie",The Prize,Pocket Books,Very Good,No Jacket,Soft Cover,Romance,671702513,1991,,408,
"Gookin, Dan",Dos for Dummies,IDG Books World Wide Inc.,As New,No Jacket,Hard Cover,Education,1878058258,1991,,292,
"Gorman, Ed & Greenberg, Martin H.",Solved,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1991,,,
"Grafton, Sue",H is for Homicide,Fawcett Crest,As New,No Jacket,Soft Cover,Mystery,449219461,1991,,285,
"Grafton, Sue",H is for Homicide,Faucett Crest,Good,No Jacket,Soft Cover,Mystery,0-449-21946-1,1991,,287,
"Grisham, John",The Firm,Doubleday,Good,Good,Hard Cover,Mystery,None shown,1991,First Edition,375,
"Grisham, John",The Firm,Island Books,Good,No Jacket,Soft Cover,Mystery,044021145X,1991,,501,
"Harvey, Lola",Derenvia's Daughter,Sunflower University Press,Very Good,No Jacket,Soft Cover,Historical,089745135x,1991,,,
"Hawkins, N., M. E.",Aids to Engineers' Examinations,"Theo, Audel & Co.",Poor,No Jacket,Half-Leather,Education,NO ISBN,1991,,222,
"Helfer, Andrew",Disney's Darkwing Duck The Darkest Night,Western Publishing,Very Good,No Jacket,Soft Cover,Child's Book,307126633,1991,,,
Heyerdahl. Virginia Ann,The Best of John Axe Collectible & Modern Dolls,Hobby House Press,As New,No Jacket,Soft Cover,Collector,0-87588-373-7,1991,,192,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,180,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Hicks, Jim",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Himsel, Carol A.",Rats: A Complete Pet Owner's Manuel,"Barron's Educational Series, Inc.",Very Good,No Jacket,Soft Cover,Education,812045351,1991,,72,
"Horan, Anne",The Epic of Flight,Time-Life,Very Good,No Jacket,Hard Cover,Historical,,1991,,176,
"Jance, J. A.",Hour of The Hunter,Avon Books,As New,No Jacket,Soft Cover,Mystery,0-380-71107-9,1991,,510,
"Jance, J. A.",Payment in Kind,Avon Books,As New,No Jacket,Soft Cover,Mystery,1.40E+14,1991,,330,
"Jance, J. A.",Payment in Kind,Aven Books,Poor,No Jacket,Soft Cover,Mystery,0-380-73836-9,1991,,376,
"Jekel, Pamela",Bayou,Zebra Books,Good,No Jacket,Soft Cover,Novel,821737406,1991,First Edition,697,
"Johansen, Iris",Storm Winds,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553290320,1991,,538,
"Johnston, Terry C.",Devil's Backbone,St. Martin's Paperbacks,As New,No Jacket,Soft Cover,Novel,312925743,1991,1st Edition,426,
"Johnston, Terry C.",Shadow Riders,St. Martin's Paperbacks,As New,No Jacket,Soft Cover,Novel,312925972,1991,1st Edition,374,
"Judd, Polly and Pam",Compo Dolls 1928 to 1955,Holly House Press,As New,Good,Hard Cover,Collector,0-87588-389-3,1991,,209,
"Kellerman, Faye",Day of Atonement,Harper Torch,As New,No Jacket,Soft Cover,Mystery,60554894,1991,,388,
"King, Stephen","The Waste Lands, the Dark Tower, III",A Signet Book,Good,No Jacket,Soft Cover,Mystery,451173317,1991,,588,
"Kirk, Mary",Embers,Silhouette Books,As New,,Soft Cover,Romance,037309714X,1991,,253,
"Marshall, Bevlyn",Above the Clouds,Silhouette Books,As New,No Jacket,Soft Cover,Romance,373097042,1991,1st Edition,252,
"Matteson, Setfanie",Murder at Teatime,Diamond Books,Fair,No Jacket,Soft Cover,Mystery,1557734771,1991,,218,
"McNaught, Judith",Paradise,Pocket Books,Good,Fair,Hard Cover,Romance,671601296,1991,First Edition,489,
"Morrell, David",The Covenant of the Flame,Warner Books,Good,No Jacket,Soft Cover,Mystery,446362921,1991,,467,
"Nance, John J.",Final Approach,Reader's Digest,Very Good,Poor,Hard Cover,Fiction,None,1991,1st Edition,,
"Pirsig, Robert M.","Lila, An Inquiry Into Morals",Bantam Books,Good,No Jacket,Soft Cover,Novel,553299611,1991,,468,
"Ripley, Alexandra",Scarlett,Warner Books,As New,Very Good,Hard Cover,Novel,0-446-51507-8,1991,First Edition,823,
"Robinson, Kathy",Children of Silence,A Signet Book,Very Good,No Jacket,Soft Cover,Education,451169190,1991,,251,
"Sanders, Lawrence",The Seventh Commandment,Berklely Books,As New,No Jacket,Soft Cover,Mystery,042513329X,1991,,357,
"Sandford, John",Eiyes of Prey,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0-425-13204-8,1991,,358,
"Sandford, John",Eyes of Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425132048,1991,,358,
"Sandford, John",Eyes of Prey,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0-425-13204-8,1991,,358,
"Sandford, John",The Empress File,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425135020,1991,,356,
"Sheldon, Sidney",The Doomsday Conspiracy,William Morrow,As New,Very Good,Hard Cover,Mystery,688084893,1991,First Edition,412,
"Siebert, Diane",Sierra,Harper Collins,As New,As New,Hard Cover,Art,60216409,1991,,,
"Stanley, Charles",The Gift of Forgiveness,Thomas Nelson,As New,As New,Hard Cover,Self Help,840790724,1991,,,
"Steel, Danielle",Heartbeat,A Del Book,Good,No Jacket,Soft Cover,Novel,440211891,1991,,404,
"Stowe, Harriet Beecher",Uncle Tom's Cabin,Reader's Digest,Very Good,No Jacket,Hard Cover,Novel,895773678,1991,,411,
Sunset Magazine,Ideas for Great Kitchens,Sunset Publishing Corporation,Fair,,Soft Cover,Organizing & Design,376012366,1991,,96,
"Tan, Amy",The Kitchen God's Wife,Ivy Books,Fair,No Jacket,Soft Cover,Novel,080410753X,1991,,532,
"Teitelbaum, Michael",Beauty and the Beast,Western Publishing,Good,No Jacket,Soft Cover,Child's Book,307626458,1991,,,
