AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Johansen, Iris",The Killing Game,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553581554,1999,NULL,353,NULL
"Johansen, Iris",The Ugly Duckling,Bantam Books,As New,As New,Soft Cover,Mystery,553569910,1999,NULL,406,NULL
"Johnstone, William W.",Creed of the Mountain Man,Pinnacle Books,Very Good,No Jacket,Soft Cover,Novel,14014,1999,1,256,NULL
"Kellerman, Faye",Jupiters Bones,Aven Books,Fair,No Jacket,Soft Cover,Mystery,380730820,1999,NULL,437,NULL
"Kellerman, Faye",Moon Music,Aven Books,Good,No Jacket,Soft Cover,Mystery,380726262,1999,NULL,494,NULL
"Kellerman, Jonathan",Billy Straight,Random House,Good,Fair,Hard Cover,Novel,679459596,1999,NULL,467,NULL
"Kellerman, Jonathan",Monster,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,0345413873,1999,NULL,NULL,NULL
"Koontz, Dean",Seize the Night,Bantam Books,Very Good,No Jacket,Soft Cover,Mystery,97812,1999,NULL,443,NULL
"Krentz, Jayne Ann",Flash,Pocket Star,Fair,No Jacket,Soft Cover,Mystery,671523090,1999,NULL,407,NULL
"Lea, Christine",The Oxford New Spanish Dictionary,Berklely Books,Fair,No Jacket,Soft Cover,Education,042517090,1999,NULL,NULL,NULL
"Lescroart, John",Nothing But the Truth,Signet,As New,No Jacket,Soft Cover,Mystery,451202856,1999,NULL,452,NULL
"Lescroart, John",The Mercy Rule,Island Books,Fair,No Jacket,Soft Cover,Mystery,440222826,1999,NULL,611,NULL
"Lescroart, John",The Vig,Dell Book,As New,No Jacket,Soft Cover,Mystery,440209862,1999,NULL,376,NULL
"Levine, Eileen",Best Chicken Dishes,Time Inc.,As New,Fair,Hard Cover,Cook Book,1688171729,1999,1,253,NULL
"Littauer, Florence",How to Get Along with Difficult People,Harvest House,Very Good,No Jacket,Soft Cover,Self Help,1565079329,1999,NULL,190,NULL
"Mackie, Carole",Me and My Shadow,Aurum Press,As New,As New,Hard Cover,Health,1854106279,1999,1,348,NULL
"Mast, Brian",Profiles of Success,Bridge-Logos,As New,No Jacket,Soft Cover,Self Help,882707752,1999,NULL,336,NULL
"McGraw Phd,, Phillip C.",Life Strategies,Hyperion,As New,No Jacket,Soft Cover,Health,786884592,1999,NULL,NULL,NULL
"McGraw, Phillip C., Ph.D.",Life Strategies,Hiperion,Very Good,No Jacket,Soft Cover,Self Help,14014,1999,1,304,NULL
"Meier, Leslie",Christmas Cookie Murder,Kensington,As New,Good,Hard Cover,Mystery,1575664763,1999,NULL,232,NULL
"Michaels, Barbara",Other Worlds,Harper Collins,Fair,Poor,Hard Cover,Thriller,60192356,1999,1,217,NULL
"Moore, Clement Clark",The Night Before Christmas,Rand McNally & Company,Fair,No Jacket,Hard Cover,Childs Book,NULL,1999,NULL,NULL,NULL
"Moreton, Daniel and Samantha Berger",A Day in Japan,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,439045711,1999,NULL,NULL,NULL
"Moyer, Patsy","Modern Collectible Dolls, Volume III",Collector Books,Very Good,No Jacket,Hard Cover,Collector,NULL,1999,NULL,303,NULL
"Murphy, Shirley Rousseau",Cat in the Dark,Avon Books,As New,No Jacket,Soft Cover,Mystery,61059471,1999,NULL,314,NULL
"Myers, David G.",Scientific American Psychology Reader,Worth Publishers,Fair,No Jacket,Soft Cover,Education,071675150,1999,NULL,75,NULL
"Myers, Tamar",Baroque & Desparate,Avon Books,As New,No Jacket,Soft Cover,Mystery,380802252,1999,NULL,250,NULL
"Myers, Tamar",Baroque and Desperate,Avon,Very Good,No Jacket,Soft Cover,Mystery,0380802252,1999,NULL,250,NULL
"Oates, Joyce Carol writing as Rosamond Smith",Starr Bright Will be with You Soon,Detective Book Club,Fair,No Jacket,Hard Cover,Mystery,NULL,1999,NULL,NULL,NULL
"OConnell, Carol",Shell Game,Berklely Books,As New,No Jacket,Soft Cover,Mystery,0425176037,1999,NULL,402,NULL
"OConnell, Carol",Shell Game,Berklely Books,Good,No Jacket,Soft Cover,Mystery,0425176037,1999,NULL,402,NULL
"OConnell, Carol",Shelll Game,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0425176037,1999,NULL,NULL,NULL
"OShaughnessy, Perri",Acts of Malice,Dell Book,As New,No Jacket,Soft Cover,Mystery,0440225815,1999,NULL,448,NULL
"Palahniuk, Chuck",Invisible Monsters,W. W. Norton & Co.,Fair,No Jacket,Soft Cover,Novel,393319296,1999,NULL,297,NULL
"Parker, Robert",Hush Money,G. P. Putnams Sons,Fair,No Jacket,Hard Cover,Novel,399144587,1999,NULL,272,NULL
"Patterson, James",Pop Goes the Weasel,Warner Books,As New,No Jacket,Soft Cover,Mystery,446608815,1999,NULL,461,NULL
"Patterson, James",Pop Goes the Weasel,Warner Vision Books,Very Good,No Jacket,Soft Cover,Mystery,446608815,1999,NULL,461,NULL
"Patterson, Richard North",Dark Lady,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345404785,1999,1,424,NULL
"Peretti, Frank",The Visitation,West Bow,As New,No Jacket,Soft Cover,Christian Fiction,14013,1999,NULL,600,NULL
"Plain, Belva",Fortunes Hand,Delacorte Press,As New,Fine,Hard Cover,Novel,385316925,1999,NULL,356,NULL
"Poynter, Dan & Bingham, Mindy",Is There a Book Inside You?,Para Publishing,New,No Jacket,Soft Cover,Self Help,1568600461,1999,NULL,235,NULL
"Reding, Elizabeth Eisner",Mictosoft Publisher 98,Course Technology,Very Good,No Jacket,Soft Cover,Education,0760061068,1999,NULL,NULL,NULL
"Reichs, Kathy",Death Du Jour,Scribner,As New,Very Good,Hard Cover,Mystery,684841185,1999,NULL,379,NULL
"Reiner, Carl",How Paul Robeson Saved My Life,Cliff Street Books,As New,As New,Hard Cover,Humor,60194510,1999,NULL,NULL,NULL
"Reingold, Carmel German",The 7 Most Effective Ways to Jump-Start Your Diet,A Del Book,As New,No Jacket,Soft Cover,Medical,440225876,1999,NULL,177,NULL
"Renjilian-Burgy, Joy & Chiquito, Ann Beatrice & Mraz, Susan M.",Caminos Activity Manual,Houghton Miffin Co.,As New,No Jacket,Soft Cover,Spanish,395815401,1999,NULL,229,NULL
"Roberts, Nora",Inner Harbor,Jove Books,Very Good,No Jacket,Soft Cover,Romance,515124214,1999,NULL,342,NULL
"Roberts, Nora",Rising Tides,Jove Books,Very Good,No Jacket,Soft Cover,Romance,051512317,1999,NULL,339,NULL
"Rodgers, Alan",Pandora,Bantam Book,Very Good,No Jacket,Soft Cover,Horror,055356305,1999,NULL,371,NULL
"Sanders, Lawrence",McNallys Dilemma,G. P. Putnams Sons,As New,Fine,Hard Cover,Mystery,399144900,1999,NULL,309,NULL
"Sandford, John",Certain Prey,G. P. Putnam Sons,As New,Fine,Hard Cover,Mystery,039914496,1999,NULL,339,NULL
"Scottoline, Lisa",Mistaken Identity,Harper Paperbacks,Fair,No Jacket,Soft Cover,Mystery,61096113,1999,NULL,561,NULL
"Scottoline, Lisa",Mistaken Identity,Harper Paperbacks,Good,No Jacket,Soft Cover,Mystery,61096113,1999,NULL,561,NULL
"Scottoline, Lisa",Mistaken Identity,HarperTorch,Fair,No Jacket,Soft Cover,Mystery,61096113,1999,NULL,580,NULL
"Sean, Leigh Greenwood",The Cowboys,Leisure Books,Very Good,No Jacket,Soft Cover,Novel,843944900,1999,NULL,393,NULL
"Shahan, Sherry",Frozen Stiff,Yearling,Very Good,No Jacket,Soft Cover,Novel,440413737,1999,NULL,150,NULL
"Shaw, Rebecca",Village Gossip,Orion,Very Good,No Jacket,Soft Cover,Novel,0752833979,1999,NULL,271,Signed by Author
"Smith, Martin Cruz",Havana Bay,Ballantine Books,Very Good,No Jacket,Soft Cover,Mystery,345390458,1999,NULL,334,NULL
"Snyder, Margaret",The Goofed-up Pet Shop,Merrigold Press,Fair,No Jacket,Soft Cover,Childs Book,030741194,1999,NULL,NULL,NULL
"Somers, Suzanne",Get Skinny on Fabulous Food,Three Rivers Press,As New,No Jacket,Soft Cover,Health,609802372,1999,NULL,266,NULL
"Sparks, Nicholas",Message in a Bottle,Warner Vision Books,Very Good,No Jacket,Soft Cover,Romance,446606812,1999,NULL,370,NULL
"Stevenson, William J.",Production Operations Management,McGraw Hill,Very Good,No Jacket,Hard Cover,Education,71158561,1999,NULL,912,NULL
"Tedford, Marie & Goudey, Pat",Official Price Guide to Old Books: 3rd Ed.,House of Collectibles,NULL,No Jacket,Soft Cover,Collector,0067660157,1999,NULL,392,NULL
"Templeton, Timothy L. W/ Lynda Rutledge Stephenson",The Referral of a Lifetime,MasterTrack International,Very Good,No Jacket,Hard Cover,Reference,966784510,1999,NULL,127,NULL
"Turow, Scott",Personal Injuries,"Farrar, Straus & Giroux",As New,Fine,Hard Cover,Novel,0374281947,1999,NULL,400,NULL
"Turow, Scott",Personmal Injuries,"Farrar, Straus & Giroux",Very Good,Fine,Hard Cover,Novel,374281947,1999,NULL,NULL,NULL
"Vigilante, Kevin, MD. & Mary Flynn PH D.","Low Fat Lies, High Fat Frauds",Life Line Press,"Poor, Very Poor",Poor,Hard Cover,Medical,895263211,1999,NULL,334,NULL
"Weigel, George",Witness to Hope,Harper Perennial,Very Good,No Jacket,Soft Cover,"Biography, Religion",60732032,1999,NULL,1016,NULL
"Wigggs, Susan",Husband for Hire,Harlequin,Fair,No Jacket,Soft Cover,Romance,373825854,1999,NULL,251,NULL
"Wigggs, Susan",The Horsemasters Daughter,Mira,Very Good,No Jacket,Soft Cover,Novel,1551665344,1999,NULL,399,NULL
"Zelnick, Bob","Gore, A Political Life",Regnery Publishing Inc.,As New,As New,Hard Cover,Historical,0895263262,1999,NULL,384,NULL
" Gilman, Dorothy",Mrs. Pollifax Unveiled,Ballantine Books,As New,Very Good,Hard Cover,Mystery,3434455436520,2000,NULL,195,NULL
"Albert, Susan Wittig",Dead Mans Bones,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425204251,2000,NULL,NULL,NULL
Albert. Susan Wittig,Mistletoe Man,Berklely Books,As New,Fine,Hard Cover,Mystery,425176738,2000,NULL,NULL,NULL
"Alleroft, Britt",Thomas and the Magic Railroad Little Engines Can Do Big Things,Random House,Very Good,No Jacket,Soft Cover,Childs Book,375805532,2000,NULL,NULL,NULL
"Altman, John",A Gathering of Spies,Jove Books,Very Good,No Jacket,Soft Cover,Novel,0515131105,2000,NULL,321,NULL
"Anders, C. J.",Dawsons Creek Running on Empty,Pocket Pulse,Good,No Jacket,Soft Cover,Novel,671775405,2000,NULL,162,NULL
"Atwood, Margaret",The Blind Assassin,Anchor Books,Very Good,No Jacket,Soft Cover,Mystery,385720955,2000,NULL,NULL,NULL
"Benson, Ann",Burning Road,Dell,Fair,No Jacket,Soft Cover,Novel,440225914,2000,NULL,708,NULL
"Best, Roger J.",Market-based Management,"Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Education,130145467,2000,NULL,385,NULL
"Brothers, Dr. Joyce",Angels & Demons,Pocket Star Books,Very Good,No Jacket,Soft Cover,Novel,671027360,2000,NULL,NULL,NULL
"Brown, Dan",Angels & Demons,Pocket Star Book,Very Good,No Jacket,Soft Cover,Novel,671027360,2000,NULL,572,NULL
"Brown, Dan",Angels & Demons,Pocket Star Book,As New,No Jacket,Soft Cover,Novel,671027360,2000,NULL,572,NULL
"Brown, Dan",Angels and Demons,Pocket Star Books,As New,No Jacket,Soft Cover,Mystery,671027360,2000,NULL,572,NULL
"Brown, Sandra",Standoff,Warner Books,As New,Fair,Hard Cover,Novel,446527017,2000,NULL,217,NULL
"Brown, Sandra",The Switch,Warner Books,Very Good,No Jacket,Soft Cover,Mystery,446609943,2000,1,550,NULL
"Burke, James Lee",Purple Cane Road,Phoenix,Good,No Jacket,Soft Cover,Mystery,752843346,2000,NULL,360,NULL
"Cameron, Stella",Key West,Zebra Books,Good,No Jacket,Soft Cover,Mystery,821765957,2000,NULL,479,NULL
"Capucilli, Alyssa Satin",Biscuits New Trick,Scholastic,Very Good,No Jacket,Soft Cover,Childs Book,439652685,2000,NULL,24,NULL
Capucilli. Alyssa Satin,"Biscuits Christmas, A Scratch-And-sniff Book",Harper Festival,Very Good,No Jacket,Hard Cover,Childs Book,694015164,2000,NULL,NULL,NULL
Carey Kinsolving and Friends,Kids Talk About God,Gift Books,As New,No Jacket,Hard Cover,Childs Book,849995704,2000,NULL,105,NULL
"Child, Lee",Running Blind,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0399136237,2000,NULL,486,Large Size Paperback
"Churchill, Jill",Mulch Ado About Nothing,Avon Books,As New,No Jacket,Soft Cover,Mystery,380804913,2000,NULL,267,NULL
"Clancy, Tom",Bio-Strike,Berklely Books,Very Good,No Jacket,Soft Cover,Novel,425177351,2000,NULL,453,NULL
"Clancy, Tom",The Bear and the Dragon,G. P. Putnams Sons,As New,Fine,Hard Cover,Historical,039914563,2000,NULL,1028,NULL
"Clark, Mary Higgins",Before I Say Goodbye,Simon & Schuster,As New,Good,Hard Cover,Mystery,684835983,2000,NULL,332,NULL
"Clark, Mary Higgins",Before I Say Goodbye,Pocket Books,As New,No Jacket,Soft Cover,Mystery,671004573,2000,NULL,317,NULL
"Clark, Mary Higgins & Carol Higgins Clark0",Deck the Halls,Pocket Books,As New,No Jacket,Soft Cover,Mystery,743418131,2000,NULL,292,NULL
"Clouse, Michael S. & Anderson, Kathie Jackson",Future Choice,Nexera,As New,No Jacket,Soft Cover,Paperback,963425994,2000,NULL,112,Signed by Author
"Coel, Margaret",The Spirit Woman,Berkley Prime Crime,As New,Fine,Hard Cover,Mystery,425175979,2000,NULL,256,NULL
"Cook, Robin",Abduction,Berklely Books,As New,Fine,Hard Cover,Novel,739413740,2000,NULL,402,NULL
"Coonts, Stephen",Hong Kong,St. Martins Press,As New,Fine,Hard Cover,Mystery,312253397,2000,NULL,350,NULL
"Cornwell, Patricia",The Last Precinct,G. P. Putnams Sons,As New,Good,Hard Cover,Mystery,399146253,2000,NULL,449,NULL
"Crais, Robert",Demolition Angel,Fawcett Books,Good,No Jacket,Soft Cover,Mystery,034543448,2000,NULL,374,NULL
"Daheim, Mary",Creeps Suzette,Avon Books,As New,No Jacket,Soft Cover,Mystery,380800799,2000,NULL,322,NULL
"Daheim, Mary",The Alpine Menace,Fawcett Books,Very Good,No Jacket,Soft Cover,Mystery,345421248,2000,NULL,293,NULL
"Davidson, Diane Mott",Tough Cookie,Bantam Books,As New,Fine,Hard Cover,Mystery,5533107232,2000,NULL,291,NULL
"Deaver, Jeffery",Speaking in Tongues,Simon & Schuster,Very Good,Very Good,Hard Cover,Mystery,684871262,2000,NULL,275,NULL
"Deaver, Jeffery",The Empty Chair,Simon & Schuster,As New,Very Good,Hard Cover,Mystery,684855631,2000,NULL,411,NULL
"Denny, Nancy Hunter",Life By Design,Victory,As New,No Jacket,Soft Cover,Self Help,1930463006,2000,NULL,218,Signed by Author
"Donaldson, Stephanie & McHoy, Peter",The Practical Encyclopedia of Containing Gardening,Lorenz Books,Very Good,No Jacket,Hard Cover,Education,0754800830,2000,NULL,512,NULL
"Flynn, Vince",Transfer of Power,Pocket Books,Good,No Jacket,Soft Cover,Novel,0671023209,2000,NULL,549,NULL
"Gardner, James Alan",Hunted,Harper Collins,Very Good,Very Good,Hard Cover,Novel,739411705,2000,NULL,327,NULL
"Garwood, Julie",Heartbreaker,Pocket Books,As New,As New,Hard Cover,Mystery,0067103299,2000,1,423,NULL
"Garwood, Julie",Heartbreaker,Pocket Books,As New,No Jacket,Soft Cover,Mystery,671034006,2000,NULL,520,NULL
"Griffiths, Joan & Mary Jane Swanson",The Ultimate Grill Book,JG Press,As New,Good,Hard Cover,Cook Book,1572152761,2000,NULL,208,NULL
"Grimes, Martha",The Train Now Departing,Viking,As New,Very Good,Hard Cover,Novel,670891541,2000,NULL,185,NULL
"Grisham, John",A Painted House,A Dell Book,Very Good,No Jacket,Soft Cover,Mystery,044023722,2000,NULL,465,NULL
"Grisham, John",Ford County Stories,Dell,Very Good,No Jacket,Soft Cover,Mystery,97812,2000,NULL,356,NULL
"Grisham, John",The Brethern,Doubleday,As New,Fine,Hard Cover,Mystery,0385497466,2000,NULL,366,NULL
"Gruenwald, Dwyer",College Algebra and Trigonometry,Brooks Cole Publishing Co.,Good,No Jacket,Hard Cover,Education,0534369596,2000,NULL,913,NULL
"Harris, Joanne",Chocolat,Penguin Books,Good,No Jacket,Soft Cover,Novel,014100018,2000,NULL,306,NULL
"Hoag, Tami",Dust to Dust,Bantam Book,Good,No Jacket,Soft Cover,Mystery,553582526,2000,NULL,480,NULL
"Hooper, Kay",Hiding in The Shadows,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553576925,2000,NULL,339,NULL
"Howard, Anne",Best Friends,Axis Publishing,Very Good,No Jacket,Original Wraps,Childs Book,1904707270,2000,NULL,NULL,NULL
"Jance, J. A.",Devils Claw,Avon Books,As New,No Jacket,Soft Cover,Mystery,380792494,2000,NULL,406,NULL
"Johansen, Iris",The Search,Bantam Books,As New,No Jacket,Soft Cover,Mystery,553582127,2000,NULL,311,NULL
"Johnstone, William W.",Return of the Mountain Man,Pinnacle Books,Very Good,No Jacket,Soft Cover,Novel,14014,2000,NULL,189,NULL
"Kalb, Rosalind C., PH.D.",Multiple Sclerosis,Demos,Very Good,No Jacket,Soft Cover,Health,08888799439,2000,NULL,614,NULL
"Kellerman, Faye",Stalker,Warner Books,As New,Fine,Hard Cover,Mystery,688156134,2000,NULL,348,NULL
"Kellerman, Jonathan",Dr. Death,Ballantine Books,As New,No Jacket,Soft Cover,Mystery,345413881,2000,NULL,436,NULL
"King, Margaret L.",Western Civilization,"Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Historical,130148105,2000,NULL,512,NULL
"King, Margaret L.","Western Civilization, A Social & Cultural History","Prentice Hall, Inc.",Fair,No Jacket,Soft Cover,Historical,0130148105,2000,NULL,156,NULL
"King, Stephen",Hearts in Atlantis,Pocket Books,Very Good,No Jacket,Soft Cover,Novel,671024248,2000,NULL,651,NULL
"Koontz, Dean",False Memory,Bantam Books,Fair,No Jacket,Soft Cover,Novel,97812,2000,NULL,751,NULL
"Koontz, Dean",From the Corner of His Eye,Bantam Book,Poor,No Jacket,Soft Cover,Thriller,553582747,2000,NULL,729,NULL
"Koppel, Ted",Off Camera,Alfred A. Knoff,As New,As New,Hard Cover,Novel,375410775,2000,NULL,320,NULL
"McCormick, Patricia",Cut,Scholastic,As New,No Jacket,Soft Cover,Mystery,439324599,2000,NULL,151,NULL
"McMullen, Kate",If You Were My Bunny,Schollastic,Very Good,No Jacket,Soft Cover,Childs Book,439229103,2000,1,NULL,NULL
"McNab, Andy",Remote Control,Ballantine Books,Good,No Jacket,Soft Cover,Mystery,345428064,2000,NULL,372,NULL
"Miller, Fred",Images,"Fred J. Miller, Inc.",Fine,No Jacket,Hard Cover,Fiction,NULL,2000,NULL,NULL,NULL
"Miller, Sue",While I Was Gone,Ballantine Books,Very Good,No Jacket,Soft Cover,Novel,345443284,2000,NULL,266,NULL
"Myler, Dale, Ron and Bob",A Whole Bit Better,"Toklat Originals, Inc.",Very Good,No Jacket,Soft Cover,Education,NULL,2000,NULL,130,Signed by Author
"Neiderman, Andrew",Curse,Pocket Books,Good,No Jacket,Soft Cover,Mystery,067104172,2000,NULL,357,NULL
"OConnor, Helen",The Glucose Revolution,Marlowe & Co.,As New,No Jacket,Soft Cover,Medical,1569246769,2000,NULL,113,NULL
"ONeil, William J.",24 Essential Lessons for Investment Success,"McGraw-Hill Book Company, Inc.",NULL,No Jacket,Soft Cover,Education,0071360336,2000,NULL,173,NULL
"OReilly, Bill",The OReilly Factor,Broadway Books,Very Good,No Jacket,Soft Cover,Political,0767905296,2000,1,214,NULL
"Paretsky, Sara",Hard Time,Dell,Very Good,No Jacket,Soft Cover,Mystery,440224705,2000,NULL,495,NULL
Parsons & Oja,Computer Concepts 4th Edition,Course Technology,Fair,No Jacket,Hard Cover,Education,760064903,2000,NULL,320,NULL
"Parsons, June Jamrich and Oja, Dan",Computer Concepts,Course Technology,Very Good,No Jacket,Soft Cover,Reference,0760064903,2000,NULL,NULL,NULL
"Parsons, June Jamrich and Oja, Dan","New Perspectives on Computer Concepts, 4th Ed.",Thompson Learning,Good,No Jacket,Soft Cover,Education,0760064903,2000,NULL,320,NULL
"Passman, Don",Mirage,Warner Books,As New,No Jacket,Soft Cover,Mystery,446610402,2000,NULL,354,NULL
"Patterson, James",Cradle and All,Time Warner,Fair,No Jacket,Soft Cover,Mystery,446609404,2000,NULL,355,NULL
"Patterson, James",Roses are Red,Little Brown & Co.,As New,Good,Hard Cover,Mystery,316693251,2000,1,400,NULL
"Pickard, Nancy",The Whole Truth,Pocket Books,As New,Fine,Hard Cover,Mystery,0671887955,2000,NULL,264,NULL
Prevention Health Books,Peel Off the Pounds,Rodale Press,As New,No Jacket,Soft Cover,Health,NULL,2000,NULL,80,NULL
"Pullman, Philip",The Amber Spyglass,Alfred A. Knoff,Very Good,No Jacket,Soft Cover,Ficton,440238153,2000,NULL,465,NULL
"Roberts, Nora",Heart of the Sea,Jove Books,Very Good,No Jacket,Soft Cover,Romance,515128554,2000,NULL,369,NULL
"Rooney, Andy",My War,BBS Public Affairs,As New,Very Good,Hard Cover,Novel,1586480103,2000,NULL,NULL,NULL
"Sanders, Lawrence",McNallys Folly,G. P. Putnams Sons,As New,Very Good,Hard Cover,Mystery,399146180,2000,NULL,340,NULL
"Sandford, John",Easy Prey,Berkley Books,Fair,No Jacket,Soft Cover,Mystery,425178765,2000,NULL,383,NULL
"Schwarz, Christina",Drowning Ruth,Ballantine Books,Good,No Jacket,Soft Cover,Novel,345439104,2000,NULL,338,NULL
"Scottoline, Lisa",Moment of Truth,Harper Collins,As New,Fine,Hard Cover,Mystery,60196092,2000,NULL,306,NULL
"Seranella, Barbara",Unwanted Company,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,NULL,2000,NULL,NULL,NULL
"Sheldon, Sidney",The Sky is Falling,William Morrow,As New,Fine,Hard Cover,Mystery,60198346,2000,NULL,317,NULL
"Sparks, Nicholas",A Walk to Remember,Warner Books,As New,No Jacket,Soft Cover,Novel,446608955,2000,NULL,240,NULL
"Spizer, Joyce","Im Okay, Youre Dead",Intercontinental Publishing,As New,As New,Hard Cover,Mystery,1881164853,2000,NULL,247,NULL
"Stonecipher, Harland C. With James W. Robinson",The Pre-Paid Legal Story,Prima Publishing,Very Good,Very Good,Hard Cover,Legal,761522212,2000,NULL,280,NULL
"Suro, Xiomara",The Medallion,XFM Enterprises,As New,No Jacket,Soft Cover,Novel,615124690,2000,NULL,501,NULL
"Thornton, Delores",Babe,Marguerite Press,As New,No Jacket,Soft Cover,Novel,965658457,2000,NULL,146,NULL
U Can Do,Project Plans,"HDA, Inc",Good,No Jacket,Soft Cover,Yard Art,9434039593,2000,NULL,130,NULL
