AUTHOR,TITLE,PUBLISHER,BOOK_GRADE,JACKET_CONDITION,BINDING_TYPE,BOOK_TYPE,ISBN ,PUBLISHER_YEAR,EDITION,PAGES,NOTES
"Van Dine, S.S.","The Canary"" Murder Case""",Grosset & Dunlap,Fair,No Jacket,Hard Cover,Mystery,NULL,1927,NULL,343,NULL
"Alcott, Louisa May",Little Men,The John C. Winston Co.,Fair,No Jacket,Hard Cover,Young Adult,NULL,1928,NULL,349,NULL
"Beard, Charles A.",American Government and Politics,The MacMillan Co.,Fair,No Jacket,Hard Cover,Political,NULL,1928,1,820,NULL
Charles Beard,American Government and Politics,Macmillan Publishing Company,Good,No Jacket,Hard Cover,Non-Fiction,NULL,1928,5,NULL,NULL
"Scholes, Percy A.",A Miniature History of Music,Oxford University Press,Poor,No Jacket,Hard Cover,Historical,NULL,1928,NULL,53,NULL
"Wood, W. G. & None Others",Home Cyclopedia of Health,"Flynn, Fletcher and Lonsdale",Poor,No Jacket,Mass Market Paperback,Medical,NULL,1928,NULL,NULL,NULL
"Christie, Agatha",Murder at the Manor (Three stories),Mystery Guild,As New,Fine,Hard Cover,Mystery,073943828,1929,NULL,513,NULL
"Haynes, Betsy",The Fabulous Five,A Bantam Starlight Book,NULL,No Jacket,Soft Cover,Novel,553157485,1929,NULL,208,NULL
"Hill, Laurance L.",La Reoma,Security Trust & Savings Bank,Poor,No Jacket,Soft Cover,Historical,NULL,1929,NULL,208,NULL
"The Platt & Monk Co., Inc.",Childrens Hour with Cinderella and Other Stories,The Platt & Munk Co.,Good,No Jacket,Hard Cover,Childs Book,NULL,1929,NULL,NULL,NULL
"Canby, Henry Seidel",Thoreau,Houthton Mifflin,Good,No Jacket,Hard Cover,Novel,NULL,1930,NULL,507,NULL
"deSchweinitz, Karl",Growing Up,The MacMillan Co.,Poor,No Jacket,Hard Cover,Education,NULL,1930,NULL,111,NULL
"Kent, Rockwell",N By E,New York Literary Guild,Good,No Jacket,Hard Cover,Adventure,NULL,1930,NULL,281,NULL
"Christie, Agatha",The Murder at Hazelmoor,Berklely Books,Fair,No Jacket,Soft Cover,Mystery,0425104060,1931,NULL,228,NULL
"Grant, Gordon",Unrolling the Map,Reynal & Hitchcock,Good,No Jacket,Hard Cover,Education,NULL,1931,NULL,NULL,NULL
"Hope, Laura Lee",The Bobbsey Twins Wonderful Secret,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Childs Book,NULL,1931,NULL,246,NULL
"Hoyt, Vance Joseph",Sequoia,Grosset & Dunlap,Good,No Jacket,Hard Cover,Collector,NULL,1931,NULL,272,NULL
"Lamont, R. P.","Furniture, Its Selection and Use",U. S. Department of Commerce,Fair,No Jacket,Soft Cover,Collector,NULL,1931,NULL,113,NULL
"Rigney, Francis J.",Here are the Things That Santa Claus Brings,The Goldsmith Publishing Co.,Good,No Jacket,Soft Cover,Childs Book,NULL,1931,NULL,NULL,NULL
"James, M. R.",The Collected Ghost Stories,Edward Arnold,Good,No Jacket,Hard Cover,Horror,NULL,1931,1,NULL,NULL
"Bell, Louise Price","Kitchen Fun, Teaches Children to Cook Successfully",The Harter Publishing Co.,Poor,No Jacket,Soft Cover,Childs Book,NULL,1932,NULL,28,NULL
"Cox, Eva Winn",A Visit to Santa Claus Land,Cox Features,Good,No Jacket,Soft Cover,Childs Book,NULL,1932,NULL,NULL,NULL
"Hudson, Arthur K.",The Lonesome Gnome,E. R. Squibb & Sons,Good,No Jacket,Soft Cover,Childs Book,NULL,1932,NULL,NULL,NULL
Kellogg,Kelloggs Funny Jungleland Moving Pictures,Kelloggs,Fair,No Jacket,Soft Cover,Childs Book,NULL,1932,NULL,NULL,NULL
"Wilder, Laura Ingalls",Little House in the Big Woods,Harper & Row,Very Good,Good,Hard Cover,Childs Book,NULL,1932,NULL,238,NULL
"Bohata-Morpurgo, Ida",Vom Lieben Christkindlein,Verlag-Ars sacra-Josef Muller-Munchen,Fair,No Jacket,Hard Cover,Childs Book,NULL,1933,NULL,NULL,NULL
"London, Jack",White Fang,Grosset & Dunlap,Fair,Poor,Hard Cover,Childs Book,NULL,1933,NULL,317,NULL
"Sayers, Dorothy L.",Murder Must Advertise,Avon,Good,No Jacket,Soft Cover,Mystery,NULL,1933,NULL,288,NULL
"Woolcott, Alexander",While Rome Burns,The Viking Press,NULL,NULL,Hard Cover,Collector,NULL,1933,NULL,328,NULL
"Chaucer, Geoffrey",Canterbury Tales,International Collectoor;s Library,Good,Good,Hard Cover,Collector,NULL,1934,NULL,627,NULL
"Guest, Edgar A.",Collected Verse of Edgar A. Guest,The Reilly & Lee Co.,Fair,Poor,Hard Cover,Poetry,NULL,1934,NULL,937,NULL
"Field, Rachel","Hittty, Her First Hundred Years",The MacMillan Company,Fair,No Jacket,Hard Cover,Childs Book,NULL,1935,NULL,NULL,NULL
"Glover, T. R.",The Ancient World,Penguin Books,Poor,No Jacket,Soft Cover,Historical,NULL,1935,NULL,350,NULL
"NEA Services, Inc.",The Dionne Quintuplets Growing Up,"The Platt & Munk Company, Inc.",Poor,No Jacket,Hard Cover,Collector,NULL,1935,NULL,NULL,NULL
"Outhwaite, Leonard",Unrolling the Map,Reynal & Hitchcock,Very Good,No Jacket,Hard Cover,Historical,NULL,1935,NULL,351,NULL
"Benson, Ivan",Mark Twain in the West,California State Printing Office,Fair,No Jacket,Soft Cover,Collector,NULL,1936,NULL,30,NULL
"Boylston, Helen Dore",Sue Barton Student Nurse,"Little, Brown & Co.",Fair,Poor,Hard Cover,Collector,NULL,1936,NULL,244,NULL
"Mannheim, Karl",Ideology and Utopia,A Harvest Book,Good,No Jacket,Soft Cover,Education,NULL,1936,NULL,854,NULL
"Mitchell, Margaret",Gone With the Wind,The MacMillan Company,Poor,No Jacket,Hard Cover,Novel,NULL,1936,NULL,1037,NULL
"Sherman, Edith Bishop",Polly Whats Her Name,The Goldsmith Publishing Co.,Fair,No Jacket,Hard Cover,Collector,NULL,1936,NULL,250,NULL
"Wallace, Francis",Autumn Madness,"Books, Inc.",Fair,No Jacket,Hard Cover,Novel,NULL,1936,NULL,288,NULL
"White, Ethel Lina",The Lady Vanishes,Zebra,Fair,No Jacket,Soft Cover,Novel,821720015,1936,NULL,268,NULL
Avi Nothing But the Truth,Nothing But the Truth,HarperTrophy,Fair,No Jacket,Soft Cover,Novel,038071907,1937,NULL,212,NULL
"Burke, Edmund",Taste of the Sublime,P. F. Collier & Son,As New,Fine,Hard Cover,Novel,NULL,1937,NULL,421,NULL
"Caesar, Irving",Irving Caesars Sing a Song of Safety,Irving Caesar,Good,No Jacket,Soft Cover,Childs Book,NULL,1937,NULL,71,NULL
Dr. Seuss,And to Think That I Saw it on Mulberry Street,"Vanguard Press, Inc.",As New,No Jacket,Hard Cover,Childs Book,NULL,1937,NULL,NULL,NULL
Dr. Seuss,The Cat in the Hat,Random House,Good,Good,Hard Cover,Childs Book,NULL,1937,NULL,62,NULL
"Gould, George M. M.D. & Walter L. Pyle, M.D.",Anomalies and Curiosities of Medicine,"Sydenham, Publishers",Fair,No Jacket,Hard Cover,Medical,NULL,1937,NULL,968,NULL
"Grey, Zane",West of the Pecos,"Walter J. Black, Inc.",Good,No Jacket,Buckram,Western,NULL,1937,NULL,314,NULL
"Hubbell, Carl",Carl Hubbells 1937 Baseball Book,Heffelfinger Publications,Very Good,No Jacket,Soft Cover,Collector,NULL,1937,NULL,24,NULL
"Magruder, Frank Abbott, Ph.D.","American Government, Problems of Democracy",Allyn and Bacon,Poor,No Jacket,Hard Cover,Education,NULL,1937,NULL,757,NULL
"Peale, Norman Vincent",The Power of Positive Thinking,Center for Positive Thinking,Good,No Jacket,Soft Cover,Self Help,NULL,1937,NULL,56,NULL
"Tolkien, J. R. R.",The Hobbit,Houghton Miffin Co.,As New,Very Good,Hard Cover,Fantasy,739410741,1937,NULL,255,NULL
"Watson, Thomas A.",The birth and Babyhood of the Telephone,American Telephone & Telegraph Co.,As New,No Jacket,Soft Cover,Collector,NULL,1937,NULL,47,NULL
" Carnegie, Dale",How to Win Friends and Influence People,Pocket Books,Very Good,No Jacket,Soft Cover,Education,671424181,1938,NULL,264,NULL
"Bonar, Lee and Roush, Lucile and the Late Richard M. Holman",A Laboratory Guide for a Course in General Botany,"John Wiley & Sons, Inc.",Poor,No Jacket,Hard Cover,Education,NULL,1938,NULL,110,NULL
"Christie, Agatha",Hercule Poirots Christmas,Harper Paperbacks,Very Good,No Jacket,Soft Cover,Mystery,61003735,1938,NULL,243,NULL
"DeGroat, Harry DeW. & Young, William E.","Iroquois New Standard Arithmetics, Grade Five","Iroquois Publishing Co., Inc.",Fair,No Jacket,Hard Cover,Education,NULL,1938,NULL,264,NULL
"Dock, Lavinia L., R.N.",A Short History of Nursing,G. P. Putnams Sons,Fair,No Jacket,Hard Cover,Medical,NULL,1938,NULL,435,NULL
"Hare, Cyril",Death is No Sportsman,Harper Perennial,Fair,No Jacket,Soft Cover,Mystery,60805552,1938,NULL,263,NULL
"Smith, Nila Banton",Near and Far,California State Dept. Of Education,Poor,No Jacket,Hard Cover,Childs Book,NULL,1938,NULL,320,NULL
Treasure Chest,"Christmas Song Parade, and Pictures to Color",Treasure Chest Publications,Very Good,No Jacket,Soft Cover,Childs Book,NULL,1938,NULL,NULL,NULL
"Cavendish, Marshall",History of the Second World War,Marshall Cavendish,Very Good,No Jacket,Soft Cover,Magazine,NULL,1939,NULL,29,NULL
"Heffernan, Helen & Richards, Irmagarde, & Salisbury, Alice",Desert Treasure,Harr Wagner Publishing Co.,Poor,No Jacket,Hard Cover,Childs Book,NULL,1939,NULL,298,NULL
"Morley, Christopher",Kitty Foyle,J. B. Lippincott Company,Poor,No Jacket,Hard Cover,Novel,NULL,1939,NULL,340,NULL
" Lindlahr, Victor",The Famous 7-Day Reducing Diet,Journal of Living,Good,No Jacket,Soft Cover,Health,NULL,1940,NULL,32,NULL
"Ambler, Eric",Journey Into Fear,Alfred A. Knoff,Very Good,No Jacket,Hard Cover,Novel,NULL,1940,NULL,184,NULL
"Christie, Agatha",Murder on The Orient Express,Pocket Books,Good,No Jacket,Soft Cover,Mystery,NULL,1940,NULL,198,NULL
De Lee Joseph B. M.D.,The Principles and Practice of Obstetrics,"W, B. Saunders Company",Good,No Jacket,Hard Cover,Medical,NULL,1940,NULL,1211,NULL
"Fenton, Carroll Lane O& Mildred Anams",The Rock Book,Doubledaiy & Co.,Good,Fair,Hard Cover,Education,NULL,1940,NULL,355,NULL
"Keyes, Frances Parkinson",Fieldings Folly,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Ficton,NULL,1940,NULL,435,NULL
"Mack, Effie Mona, Ph.D. & Sawyer, Byrd Wall, M.A.","Our State, Nevada","The Caxton Printers, LTD.",Poor,No Jacket,Hard Cover,Education,NULL,1940,NULL,322,the cover of the book is falling apart
"Marx, Groucho",Why a Duck?,Crown Publishers,Very Good,Fair,Hard Cover,Humor,821203738,1940,NULL,288,NULL
"McGlashan, C. F.","History of the Donner Party, A Tragedy of the Sierra",Stanfor University Press,Good,No Jacket,Soft Cover,Historical,804703671,1940,NULL,261,NULL
"Sayers, Dorothy L.",In the Teeth of the Evidence,Avon Publishers,Very Good,No Jacket,Soft Cover,Mystery,NULL,1940,NULL,208,NULL
"Sperry, Armstrong",Call It Courage,"Scholastic, Inc.",Fair,No Jacket,Soft Cover,Novel,NULL,1940,NULL,92,NULL
Bible Stories,Old and New Testament Stories,Whitman Publishing,Fair,No Jacket,Hard Cover,Childs Book,NULL,1941,NULL,237,NULL
"Christie, Agatha",The Body in the Library,Pocket Books,Fine,No Jacket,Soft Cover,Mystery,671602551,1941,NULL,192,NULL
"Gardner, Earl Stanley",Case of the Haunted Husband,Pocket Books,Good,No Jacket,Soft Cover,Mystery,671558188,1941,NULL,218,NULL
"OHara, Mary",My Friend Flicka,J.B.Lippincott Company,NULL,NULL,Hard Cover,Collector,NULL,1941,NULL,285,NULL
"Saavedra, Miguel De Cervantes",Don Quixote De La Mancihe,Random House,Good,No Jacket,Hard Cover,Fantasy,NULL,1941,NULL,567,NULL
"Shann, Renee",War Wife,Triangle Books,Fair,No Jacket,Hard Cover,Novel,NULL,1941,NULL,305,NULL
"Slaughter, Frank C.","Trio, Three Complete Novels",Doubledaiy & Co.,Good,No Jacket,Hard Cover,Novel,NULL,1941,NULL,924,NULL
"Stong, Phil",25 Modern Stories of Mysteryi,Garden City Publishing Co.,Poor,Poor,Hard Cover,Mystery,NULL,1941,NULL,466,NULL
"Ehrlichman, John",Washington Behind Closed Doors,Pocket Books,Poor,No Jacket,Soft Cover,Political,0671817922,1942,NULL,327,NULL
"Gray, Elizabeth Janet",Adam of the Road,Puffin Books,Good,No Jacket,Soft Cover,Childs Book,014032464,1942,NULL,317,NULL
"Howland, V Huntington","Picture World, November 1942",Bilbarra Publishing Co.,Fair,No Jacket,Soft Cover,Magazine,NULL,1942,NULL,47,NULL
"Reed, Mary",Prayers for Children,Simon & Shuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1942,NULL,39,NULL
"Vanek, Cecilia",Star Book of 100 Edgings,American Thread Co.,Very Good,No Jacket,Soft Cover,Self Help,NULL,1942,NULL,31,NULL
"Wallbank, T. Walter & Taylor, Alastair M.",Civilization - Past and Present,"Scott, Foresman and Company",Fair,No Jacket,Hard Cover,Historical,NULL,1942,NULL,579,NULL
" Smith, Grant H.",The History of the Comstock Lode,Nevada Bureau of Mines,Fair,No Jacket,Soft Cover,Historical,NULL,1943,NULL,305,NULL
Ariane,The Lively Little Rabbit,Simon & Schuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1943,NULL,NULL,NULL
"Bower, Albert G. M.D.",Communicable Diseases for Nurses,"W, B. Saunders Company",Very Good,No Jacket,Hard Cover,Medical,NULL,1943,NULL,592,NULL
"Bristol, Lieutenant George",Salute Me!,The Dial Press,Good,No Jacket,Hard Cover,Novel,NULL,1943,NULL,172,NULL
"Glenn, Mabelle and Leavitt, Helen S.",Tuning Up - the World of Music,Ginn & Company,Fair,No Jacket,Hard Cover,Collector,NULL,1943,NULL,176,NULL
"Harris, Thomas",Hannibal,A Dell Book,Very Good,No Jacket,Soft Cover,Novel,440224675,1943,NULL,546,NULL
"Hope, Laura Lee",The Bobbsey Twins in a Houseboat,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Childs Book,NULL,1943,NULL,244,NULL
"Luce, Henry R.",The Swing Era - One More Time,Time Life Records,Good,No Jacket,Hard Cover,Collector,NULL,1943,NULL,NULL,NULL
"Stuart, Jesse",Taps for Private Tussie,"E. P. Dutton & Company, Inc.",Poor,Poor,Hard Cover,Novel,NULL,1943,NULL,303,NULL
"Allen, Hervey",Tales of Edgar Allen Poe,Random House,Fair,NULL,Hard Cover,Classic,NULL,1944,NULL,562,This book was in a box to preserve it.
"Fischer, Bruno",Quote the Raven,"Doubleday, Doran & Company",Poor,No Jacket,Hard Cover,Novel,NULL,1944,NULL,188,NULL
"Gorman, John A.",The Western Horse,John A. Gorman,Very Good,No Jacket,Hard Cover,Education,NULL,1944,NULL,361,NULL
"Kuns, Ray F.","Auto-Mechanics, Course 1, the Engine",Bruce Publishing Company,Poor,No Jacket,Soft Cover,Education,NULL,1944,NULL,265,NULL
"Kuns, Ray F.","Auto-mechanics, Course 3 Automovtive Electricity",Burce Publishing,Poor,No Jacket,Soft Cover,Collector,NULL,1944,NULL,282,NULL
"Meier, Frederick",The Joke Tellers Joke Book,The Blakiston Co.,Poor,No Jacket,Hard Cover,Humor,NULL,1944,NULL,323,NULL
"Read, Grantly Dick, M.A., M.D.",Childbirth Without Fear,Harper & Brothers,Fair,No Jacket,Hard Cover,Medical,NULL,1944,NULL,259,NULL
"Stone, Irving",Immortal Wife,"Doubleday, Doran & Company",Fair,No Jacket,Hard Cover,Novel,NULL,1944,NULL,NULL,NULL
"Whitlock, Flint",WWII Quarterly,Mark Hintz,Very Good,No Jacket,Soft Cover,Magazine,NULL,1944,NULL,98,NULL
"Grimm, Jacob and William",Hansel and Gretel,Simon & Schuster,Good,No Jacket,Hard Cover,Childs Book,NULL,1945,NULL,NULL,NULL
"Hewson, Isabel Manning",The Land of the Lost,McGraw Hill BookCo.,Poor,No Jacket,Hard Cover,Childs Book,NULL,1945,NULL,60,NULL
"Horton, Thomas D.",What Men Dont Like About Women,Louis Greenfield Publsiher,Poor,Poor,Hard Cover,Advanced Reading Copy (ARC),NULL,1945,NULL,144,NULL
"Norris, Kathleen",Burned Fingers,The Sun Dial Press,Poor,No Jacket,Hard Cover,Novel,NULL,1945,NULL,273,NULL
"Tarkington, Booth",Image of Josephine,"Doubleday , Doran & Company",Poor,No Jacket,Hard Cover,Collector,NULL,1945,NULL,275,NULL
" Haydn, Hiram",The Portable Elizabethan Reader,The Viking Press,Poor,Fair,Hard Cover,Collector,NULL,1946,NULL,688,NULL
"Alexander, Beatrice",The Story of Jesus,Simon & Schuster,Good,No Jacket,Hard Cover,Childs Book,NULL,1946,NULL,NULL,NULL
"Alighieri, Dante",The Divine Comedy,International Collectoor;s Library,As New,Fine,Hard Cover,Ex-Library,NULL,1946,NULL,475,NULL
"Ames, Merlin M. & Ames, Jesse H. & Ousley, Odille",My Country,California State Dept. Of Education,Poor,No Jacket,Hard Cover,Education,NULL,1946,NULL,472,NULL
"Caldwelld, Taylor",This Side of Innocence,Charles Scribner & Son,Poor,No Jacket,Hard Cover,Ficton,NULL,1946,NULL,499,NULL
"DeFoe, Daniel",Robinson Crusoe,Grosset & Dunlap,Fine,Good,Hard Cover,Adventure,NULL,1946,NULL,NULL,NULL
"DeFoe, Daniel",Robinson Crusoe,Grosset & Dunlap,Very Good,Fair,Hard Cover,Novel,NULL,1946,NULL,378,NULL
"Frazer, Phyllis",This Little Piggy and Other Counting Rhymes,Simon & Schuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1946,NULL,41,NULL
"Gunther, John",Inside U.S.A.,Harper and Brothers,Good,No Jacket,Hard Cover,Historical,NULL,1946,NULL,979,NULL
"Heggen, Thomas",Mr. Roberts,Pocket Books,Fair,No Jacket,Soft Cover,Novel,NULL,1946,NULL,189,NULL
"Hobson, Laura Z.",Gentlemens Agreement,Simon & Schuster,Fair,No Jacket,Hard Cover,Novel,NULL,1946,NULL,275,NULL
"Howard, Elizabeth Metzger",Before the Sun Goes Down,Doubledaiy & Co.,Poor,No Jacket,Hard Cover,Novel,NULL,1946,NULL,378,NULL
Phyllis Fraser,This Little Piggy,Simon & Schuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1946,NULL,NULL,NULL
Sunset Books,Sunset Barbecue Book,Lane Publishing,Fair,Poor,Hard Cover,Cook Book,NULL,1946,NULL,95,NULL
"Untermeyer, Louis (Edited)",A Treasury of Laughter,Simon & Shuster,Fair,No Jacket,Hard Cover,Collector,NULL,1946,NULL,318,NULL
 Nicole,The Happy Family,Simon & Schuster,Good,No Jacket,Hard Cover,Childs Book,NULL,1947,NULL,42,NULL
"Costain, Thomas B.",The Moneyman,Doubledaiy & Co.,Poor,Poor,Hard Cover,Romance,NULL,1947,NULL,434,NULL
"Fernald, James C., L.H.D.","Synonyms, Antonyms, and Prepositions",Funk & Wagnalls Company,Very Good,Fair,Hard Cover,Education,NULL,1947,NULL,515,NULL
"Funk, Charles Earle, Ltt.D.",New College Standard Dictionary,Funk & Wagnalls Company,Poor,No Jacket,Hard Cover,Education,NULL,1947,NULL,1404,NULL
"Norris, Kathleen",You Cant Have Everything,"Collier Books, New York",Poor,No Jacket,Hard Cover,Novel,NULL,1947,NULL,332,NULL
"Potter, Edith L. M.D., Ph.D.",RH,The Year Book Publishers,Good,No Jacket,Hard Cover,Medical,NULL,1947,NULL,344,NULL
"Rinehart, Mary Roberts",Mary Roberts Rineharts Mystery Book,"Rinehart & Co., Inc.",Fair,Poor,Hard Cover,Collector,NULL,1947,NULL,343,NULL
"Ross, Jacob M.","Adventures for Readers, Book One","Harcourt Brace & World, Inc.",Good,Poor,Half-Leather,Education,NULL,1947,NULL,502,NULL
"Scott, Therese",The Shy Little Horse,Grosset & Dunlap,Poor,No Jacket,Hard Cover,Childs Book,NULL,1947,NULL,NULL,NULL
"Stevenson, Robert Louis",Treasure Island,Grosset & Dunlap,Very Good,No Jacket,Hard Cover,Novel,NULL,1947,NULL,341,NULL
"Untermeyer, Louis",A Concise Treasury of Great Poems,Pocket Books,Poor,No Jacket,Soft Cover,Poetry,NULL,1947,NULL,557,NULL
"Alter, Dinsmore, Ph.D, SC D",Pictorial Astronomy,Thomas Y Crowell Co.,Fair,No Jacket,Hard Cover,Education,NULL,1948,NULL,310,NULL
"Dickens, Charles",David Copperfield,Literary Guild of America,Good,No Jacket,Hard Cover,Novel,NULL,1948,NULL,423,NULL
"Luce, Henry R.",The Swing Era - The Postwar Years,Time Life Records,Good,No Jacket,Hard Cover,Collector,NULL,1948,NULL,NULL,NULL
"Schoonover, Lawrence",The Burnished Bladee,The MacMillan Company,Fair,No Jacket,Hard Cover,Novel,NULL,1948,NULL,371,NULL
"Scott, Barbara & Younce, Carrie",Sedona Storm,Thomas Nelson Pub.,Good,No Jacket,Soft Cover,Novel,0785282661,1948,NULL,272,NULL
"Shulman, Max",Max Shulmans Large Economy Size,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Novel,NULL,1948,NULL,NULL,NULL
"Werner, Jane",Mr. Noah and His Family,Simon & Schuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1948,NULL,NULL,NULL
"Yerby, Frank",The Golden Hawk,The Dial Press,Fair,No Jacket,Hard Cover,Adventure,NULL,1948,NULL,312,NULL
" Orwell, George",1984,New American Library,Poor,No Jacket,Soft Cover,Novel,NULL,1949,NULL,267,NULL
"Beebe, Lucius & Charles Clegg",Virginia & Truckee,Howell-North,Very Good,No Jacket,Soft Cover,Historical,NULL,1949,NULL,67,NULL
"Berlitz, Charles F.",The Berlitz Self Teacher: Spanish,Dunlap Publishers,Very Good,No Jacket,Hard Cover,Education,NULL,1949,NULL,282,NULL
"Davidson, David",The Hour of Truth,Random House,Fair,No Jacket,Hard Cover,Novel,NULL,1949,NULL,280,NULL
"Eastman, Nicholson J., M.D.",Expectant Motherhood,Little Brown & Co.,Fair,No Jacket,Hard Cover,Medical,NULL,1949,2,198,NULL
"Farrington, S. Kip, Jr.",Railroads of Today,"Coward-McCann, Inc.",Fair,Fair,Hard Cover,Education,NULL,1949,NULL,306,NULL
"Farrington, S. Kip, Jr.",Railroads of Today,Longman,Fair,Fair,Hard Cover,Non-Fiction,NULL,1949,NULL,NULL,NULL
"Hassell, Sandy",Know the Navajo,"Vic Walker, Indian Trader",Good,No Jacket,Soft Cover,Childs Book,NULL,1949,NULL,40,NULL
"Hassell, Sandy",Know the Navajo,"Vic Walker, Indian Trader",Fair,No Jacket,Soft Cover,Fiction,NULL,1949,NULL,NULL,NULL
"Hope, Laura Lee",The Bobbsey Twins in Tulip Land,Grosset & Dunlap,Fair,No Jacket,Hard Cover,Childs Book,NULL,1949,NULL,210,NULL
"Irons, Diane",The World;s Best-Kept Diet Secrets,"Sourcebooks, Inc.",As New,No Jacket,Soft Cover,Medical,1570713758,1949,NULL,326,NULL
"Jackson, Kathryn and Byron",Little Galoshes,Simon & Schuster,Fair,No Jacket,Hard Cover,Childs Book,NULL,1949,NULL,NULL,NULL
Kathryn and Byron Jackson,Little Galoshes,Simon & Schuster,Good,No Jacket,Hard Cover,Childs Book,NULL,1949,NULL,NULL,NULL
"Leon, Ruth",What am I,Simon & Schuster,Poor,No Jacket,Hard Cover,Childs Book,NULL,1949,NULL,NULL,NULL
"Leon, Ruth",What Am I?,Simon & Shuster,Poor,No Jacket,Hard Cover,Childs Book,NULL,1949,NULL,NULL,NULL
"Thompson, G. A. & White, D. E.",Regional Geology of the Steamboat Springs Area,U.S. Government Printing Off.,Fair,No Jacket,Soft Cover,Historical,NULL,1949,NULL,52,NULL
"Venk, Ernest A. & Billeit, Walter E.",Automotive Fundamentals,American Technical Society,Poor,No Jacket,Hard Cover,Education,NULL,1949,NULL,520,NULL
